round_id,round_name,draw_time,name,department,weight,win_count
round_1,季度之星,2025-08-21 14:58:46,李四,技术部,1.50,0
round_1,季度之星,2025-08-21 14:58:46,钱七,人事部,1.00,0
round_1,季度之星,2025-08-21 15:00:36,王五,市场部,1.00,0
round_1,季度之星,2025-08-21 15:00:36,赵六,市场部,2.00,0
round_1,季度之星,2025-08-22 10:25:56,张三,技术部,0.46,0
round_1,季度之星,2025-08-22 10:25:56,李四,技术部,1.50,1
round_1,季度之星,2025-08-22 10:30:26,张三,技术部,0.46,1
round_1,季度之星,2025-08-22 10:30:26,赵六,市场部,2.00,1
round_1,季度之星,2026-01-05 11:23:46,钱七,人事部,1.00,1
round_1,季度之星,2026-01-05 11:23:46,王五,市场部,1.00,1
